Time_(s),Voltaje_(V)
0.0,0.000000,0.107500
0.5,0.000000,0.000000
1.0,0.000000,0.141500
1.5,0.000000,0.122000
2.0,0.000000,0.000000
2.5,0.371500,0.376500
3.0,0.801500,0.884500
3.5,1.158500,1.070500
4.0,1.153500,1.119500
4.5,1.593500,1.691000
5.0,1.813500,1.696000
5.5,2.067500,1.989000
6.0,2.400000,2.424000
6.5,2.698000,2.610000
7.0,2.879000,2.795500
7.5,3.353000,3.387000
8.0,3.944500,3.822000
8.5,4.663000,4.565000
9.0,5.000000,4.990000
9.5,5.000000,4.868000
10.0,5.000000,4.887500
10.5,5.000000,5.000000
11.0,5.000000,4.878000
11.5,4.232500,4.091000
12.0,3.768500,3.817000
12.5,3.245500,3.216000
13.0,2.854500,2.742000
13.5,2.424000,2.488000
14.0,2.023500,2.101500
14.5,1.476000,1.422500
15.0,1.002000,0.963000
15.5,0.586500,0.708500
16.0,0.562000,0.440000
16.5,0.884500,0.889500
17.0,1.427000,1.510500
17.5,2.106500,1.984500
18.0,2.820000,2.776000
18.5,3.382000,3.431000
19.0,3.983500,3.861000
19.5,4.882500,4.770500
20.0,5.000000,4.995000
20.5,5.000000,4.834000
21.0,5.000000,4.863000
21.5,4.320500,4.394000
22.0,3.758500,3.709500
22.5,3.421500,3.304000
23.0,3.094000,3.138000
23.5,2.478000,2.414500
24.0,1.769500,1.657000
24.5,1.099500,1.134000
25.0,0.586500,0.552500
25.5,0.391000,0.308000
26.0,0.596500,0.630500
26.5,1.031500,1.060500
27.0,1.662000,1.554500
27.5,2.126000,2.170000
28.0,2.639500,2.668500
28.5,2.527000,2.429000
29.0,1.769500,1.842500
29.5,1.085000,1.158500
30.0,1.837500,1.676500
30.5,2.409500,2.453500
31.0,2.810500,2.839500
31.5,2.678500,2.551500
32.0,2.038000,1.989000
32.5,1.632500,1.676500
33.0,2.380500,2.209000
33.5,2.854500,2.893500
34.0,3.499500,3.533500
34.5,4.076000,3.934500
35.0,4.359500,4.389000
35.5,3.519000,3.592500
36.0,2.815000,2.737000
36.5,2.502500,2.463500
37.0,2.009000,2.092000
37.5,1.486000,1.368500
38.0,1.642000,1.676500
38.5,2.448500,2.458500
39.0,2.942500,2.786000
39.5,3.284500,3.216000
40.0,3.626500,3.568000
40.5,4.056500,3.895500
41.0,4.403500,4.428000
41.5,4.526000,4.526000
42.0,4.091000,3.973500
42.5,3.763500,3.827000
43.0,4.130000,4.135000
43.5,4.262000,4.144500
44.0,3.700000,3.778000
44.5,3.284500,3.314000
45.0,3.011000,2.888500
45.5,3.494500,3.465500
46.0,3.680500,3.617000
46.5,2.908000,2.781000
47.0,2.967000,3.011000
47.5,4.008000,3.964000
48.0,3.621500,3.499500
48.5,2.771500,2.776000
49.0,2.370500,2.385000
49.5,2.043000,1.916000
50.0,1.960000,1.950000
